"","source","target","weight"
"3110","1788_Naubert,Benedikte_HermannvonUnna_Novel_36000.txt",31,0.471486191572634
"1990","1788_Naubert,Benedikte_HermannvonUnna_Novel_37000.txt",31,0.453366028759944
"3111","1788_Naubert,Benedikte_HermannvonUnna_Novel_38000.txt",31,0.416141328483954
"1991","1788_Naubert,Benedikte_HermannvonUnna_Novel_39000.txt",31,0.621211505750805
"3112","1788_Naubert,Benedikte_HermannvonUnna_Novel_41000.txt",31,0.232029555161764
"3113","1788_Naubert,Benedikte_HermannvonUnna_Novel_43000.txt",31,0.317789119458119
"1994","1788_Naubert,Benedikte_HermannvonUnna_Novel_44000.txt",31,0.561804836699608
"1995","1788_Naubert,Benedikte_HermannvonUnna_Novel_45000.txt",31,0.367195569815879
"3114","1788_Naubert,Benedikte_HermannvonUnna_Novel_46000.txt",31,0.288044384511496
"1997","1788_Naubert,Benedikte_HermannvonUnna_Novel_49000.txt",31,0.31362640454102
"1999","1788_Naubert,Benedikte_HermannvonUnna_Novel_50000.txt",31,0.343485122267394
"11000","1788_Naubert,Benedikte_HermannvonUnna_Novel_51000.txt",31,0.342856178504358
"3115","1788_Naubert,Benedikte_HermannvonUnna_Novel_53000.txt",31,0.247448808952238
"3116","1788_Naubert,Benedikte_HermannvonUnna_Novel_54000.txt",31,0.214572705513604
"11001","1788_Naubert,Benedikte_HermannvonUnna_Novel_56000.txt",31,0.390352657374895
"11002","1788_Naubert,Benedikte_HermannvonUnna_Novel_57000.txt",31,0.387145988206078
"11005","1788_Naubert,Benedikte_HermannvonUnna_Novel_60000.txt",31,0.330283056622608
"11006","1788_Naubert,Benedikte_HermannvonUnna_Novel_61000.txt",31,0.406742945834901
"11007","1788_Naubert,Benedikte_HermannvonUnna_Novel_62000.txt",31,0.38420221000581
"3117","1788_Naubert,Benedikte_HermannvonUnna_Novel_63000.txt",31,0.406741156595907
"3118","1788_Naubert,Benedikte_HermannvonUnna_Novel_64000.txt",31,0.534392807807286
"11008","1788_Naubert,Benedikte_HermannvonUnna_Novel_65000.txt",31,0.538852740817322
"11009","1788_Naubert,Benedikte_HermannvonUnna_Novel_66000.txt",31,0.458553116265228
"11010","1788_Naubert,Benedikte_HermannvonUnna_Novel_67000.txt",31,0.620454903291186
"11011","1788_Naubert,Benedikte_HermannvonUnna_Novel_68000.txt",31,0.415700557391457
"11012","1788_Naubert,Benedikte_HermannvonUnna_Novel_69000.txt",31,0.220519637162122
"11014","1788_Naubert,Benedikte_HermannvonUnna_Novel_70000.txt",31,0.695140519560922
"11015","1788_Naubert,Benedikte_HermannvonUnna_Novel_71000.txt",31,0.675123805330007
"11016","1788_Naubert,Benedikte_HermannvonUnna_Novel_72000.txt",31,0.765161221339571
"3119","1788_Naubert,Benedikte_HermannvonUnna_Novel_73000.txt",31,0.524814784553556
"3120","1788_Naubert,Benedikte_HermannvonUnna_Novel_74000.txt",31,0.32208680889377
"3121","1788_Naubert,Benedikte_HermannvonUnna_Novel_75000.txt",31,0.207822573384854
"11017","1788_Naubert,Benedikte_HermannvonUnna_Novel_76000.txt",31,0.382383203231347
"3122","1788_Naubert,Benedikte_HermannvonUnna_Novel_78000.txt",31,0.233662590257168
"3123","1788_Naubert,Benedikte_HermannvonUnna_Novel_79000.txt",31,0.283843162967487
"11019","1788_Naubert,Benedikte_HermannvonUnna_Novel_8000.txt",31,0.29473474221203
"11020","1788_Naubert,Benedikte_HermannvonUnna_Novel_80000.txt",31,0.265474091236387
"3124","1788_Naubert,Benedikte_HermannvonUnna_Novel_81000.txt",31,0.257181305023706
"11021","1788_Naubert,Benedikte_HermannvonUnna_Novel_82000.txt",31,0.463621022715137
"11022","1788_Naubert,Benedikte_HermannvonUnna_Novel_83000.txt",31,0.478441842840049
"11023","1788_Naubert,Benedikte_HermannvonUnna_Novel_84000.txt",31,0.251739356148226
"11024","1788_Naubert,Benedikte_HermannvonUnna_Novel_85000.txt",31,0.414486100546561
"3125","1788_Naubert,Benedikte_HermannvonUnna_Novel_86000.txt",31,0.291665309963574
