"","date","means","variable","date.adj"
"exclam39","1907",0.00110067825934343,"exclam",1942
"exclam.line39","1907",0.00956700499191919,"exclam.line",1942
"period39","1907",0.0334148717050505,"period",1942
"period.line39","1907",0.271665366550505,"period.line",1942
"comma39","1907",0.0750579079878788,"comma",1942
"comma.line39","1907",0.579471316530303,"comma.line",1942
"total39","1907",0.132039563377273,"total",1942
"total.line39","1907",1.03186375393939,"total.line",1942
"total.words40","1908",251.74328358209,"total.words",1943
"no.lines40","1908",33.5716417910448,"no.lines",1943
"quest40","1908",0.00612589826268657,"quest",1943
"quest.line40","1908",NA,"quest.line",1943
"exclam40","1908",0.00717667223880597,"exclam",1943
"exclam.line40","1908",NA,"exclam.line",1943
"period40","1908",0.0431350784925373,"period",1943
"period.line40","1908",Inf,"period.line",1943
"comma40","1908",0.0827461537731343,"comma",1943
"comma.line40","1908",Inf,"comma.line",1943
"total40","1908",0.160040243164179,"total",1943
"total.line40","1908",Inf,"total.line",1943
"total.words41","1909",280.85652173913,"total.words",1944
"no.lines41","1909",31.9641304347826,"no.lines",1944
"quest41","1909",0.00306544655543478,"quest",1944
"quest.line41","1909",0.0216994719630435,"quest.line",1944
"exclam41","1909",0.00167143249782609,"exclam",1944
"exclam.line41","1909",0.0109978597065217,"exclam.line",1944
"period41","1909",0.0415158715065217,"period",1944
"period.line41","1909",0.303142560282609,"period.line",1944
"comma41","1909",0.0760356244434783,"comma",1944
"comma.line41","1909",0.564804413434783,"comma.line",1944
"total41","1909",0.13648393726087,"total",1944
"total.line41","1909",1.00274185163043,"total.line",1944
"total.words42","1910",223.476082004556,"total.words",1945
"no.lines42","1910",38.9356492027335,"no.lines",1945
"quest42","1910",0.00293645260785877,"quest",1945
"quest.line42","1910",NA,"quest.line",1945
"exclam42","1910",0.00232952629943052,"exclam",1945
"exclam.line42","1910",NA,"exclam.line",1945
"period42","1910",0.0229190170657175,"period",1945
"period.line42","1910",NA,"period.line",1945
"comma42","1910",0.0667753347220957,"comma",1945
"comma.line42","1910",NA,"comma.line",1945
"total42","1910",0.110787091769932,"total",1945
"total.line42","1910",NA,"total.line",1945
"total.words43","1911",208.387902330744,"total.words",1946
"no.lines43","1911",29.7377913429523,"no.lines",1946
"quest43","1911",0.0050788506709212,"quest",1946
"quest.line43","1911",NA,"quest.line",1946
"exclam43","1911",0.00613699379261931,"exclam",1946
"exclam.line43","1911",NA,"exclam.line",1946
"period43","1911",0.0442776387807991,"period",1946
"period.line43","1911",NA,"period.line",1946
"comma43","1911",0.0540323348679245,"comma",1946
"comma.line43","1911",NA,"comma.line",1946
"total43","1911",0.118905772536071,"total",1946
"total.line43","1911",NA,"total.line",1946
"total.words44","1912",394.827118644068,"total.words",1947
"no.lines44","1912",58.7875706214689,"no.lines",1947
"quest44","1912",0.00479845330101695,"quest",1947
"quest.line44","1912",NA,"quest.line",1947
