X,segment,ttr,ant1,ant2,syn1,syn2,ant.syn1,ant.syn2
181,90500,0.5681341719,7.48160771437e-05,0.0285132383,0.0005486512,0.1547861507,0.1363636364,0.1842105263
182,91000,0.5802469136,0.0001629195,0.0564516129,0.0007168459,0.2016129032,0.2272727273,0.28
183,91500,0.5210970464,0.0002061803,0.0414078675,0.0009793562,0.198757764,0.2105263158,0.2083333333
184,92000,0.6028806584,0.0001131286,0.0401606426,0.0005333204,0.1666666667,0.2121212121,0.2409638554
185,92500,0.5875,0.0001962949,0.0525252525,0.0008424324,0.2141414141,0.2330097087,0.2452830189
186,93000,0.6388308977,0.0002862634,0.0606060606,0.0010305484,0.1777777778,0.2777777778,0.3409090909
187,93500,0.5646817248,0.000325839,0.0584677419,0.00066797,0.1774193548,0.487804878,0.3295454545
188,94000,0.6286919831,0.0001466516,0.0373443983,0.0004917142,0.1556016598,0.298245614,0.24
189,94500,0.6344969199,0.0001362725,0.048,0.0008336673,0.166,0.1634615385,0.2891566265
190,95000,0.6186612576,0.0002376181,0.0854870775,0.0008237428,0.1809145129,0.2884615385,0.4725274725
191,95500,0.5950413223,0.0001502441,0.0448979592,0.0009348525,0.212244898,0.1607142857,0.2115384615
192,96000,0.5987780041,0.0001669967,0.0498007968,0.0014075435,0.2529880478,0.1186440678,0.1968503937
193,96500,0.5333333333,0.0001104484,0.0297619048,0.0008993657,0.1825396825,0.1228070175,0.1630434783
194,97000,0.6050420168,0.0003079924,0.0805785124,0.0013774105,0.2644628099,0.2236024845,0.3046875
195,97500,0.6444444444,0.0002366752,0.0396825397,0.001001925,0.1884920635,0.2362204724,0.2105263158
196,98000,0.5809716599,0.0001013479,0.0355029586,0.0011460112,0.2327416174,0.0884353741,0.1525423729
197,98500,0.6265306122,0.0001169399,0.033530572,0.0007873954,0.1932938856,0.1485148515,0.1734693878
198,99000,0.6247464503,0.0001900945,0.0536779324,0.0013306614,0.2445328032,0.1428571429,0.2195121951
199,99500,0.6363636364,0.0002043061,0.0613861386,0.0006914977,0.1801980198,0.2954545455,0.3406593407
200,1e+05,0.6321138211,0.0001202405,0.036,0.0010501002,0.258,0.1145038168,0.1395348837
201,100500,0.575257732,7.48160771437e-05,0.032586558,0.0009559832,0.2097759674,0.0782608696,0.1553398058
202,101000,0.5807770961,0.0001535316,0.046184739,0.0010747214,0.1887550201,0.1428571429,0.2446808511
203,101500,0.6124497992,0.0001066033,0.0389863548,0.0010279605,0.2222222222,0.1037037037,0.1754385965
204,102000,0.5608247423,0.0001277445,0.0379241517,0.0011177645,0.2375249501,0.1142857143,0.1596638655
